url,repo_name,watchers,stars,forks,commits,branches,releases,contributors,,
https://github.com/deeplearning4j/deeplearning4j,deeplearning4j,783,8260,3996,9,266,101,47,,
https://github.com/detro/ghostdriver,ghostdriver,127,1781,351,680,2,9,52,,
https://github.com/Devlight/InfiniteCycleViewPager,InfiniteCycleViewPager,142,4565,680,88,1,2,3,,
https://github.com/Devlight/NavigationTabBar,NavigationTabBar,131,3729,639,83,1,13,5,,
https://github.com/Devlight/NavigationTabStrip,NavigationTabStrip,55,1685,249,26,1,4,1,,
https://github.com/dexafree/MaterialList,MaterialList,107,1603,412,171,3,11,7,,
https://github.com/didi/VirtualAPK,VirtualAPK,255,5324,817,44,3,1,,,
https://github.com/Dimezis/BlurView,BlurView,54,1867,171,197,2,13,3,,
https://github.com/dinuscxj/LoadingDrawable,LoadingDrawable,105,3102,528,46,1,0,1,,
https://github.com/dinuscxj/RecyclerRefreshLayout,RecyclerRefreshLayout,50,1528,254,73,3,0,2,,
https://github.com/diogobernardino/WilliamChart,WilliamChart,137,3627,724,425,4,0,10,,
https://github.com/Diolor/Swipecards,Swipecards,83,1970,552,163,5,1,5,,
https://github.com/dlew/joda-time-android,joda-time-android,70,2118,170,309,1,31,15,,
https://github.com/dm77/barcodescanner,barcodescanner,183,3680,1007,195,11,6,25,,
https://github.com/dmilicic/Android-Clean-Boilerplate,Android-Clean-Boilerplate,117,1819,405,17,2,0,,,
https://github.com/dmytrodanylyk/android-process-button,android-process-button,121,2673,570,81,3,1,3,,
https://github.com/dmytrodanylyk/circular-progress-button,circular-progress-button,212,4667,1127,77,2,0,,,
https://github.com/dodola/HotFix,HotFix,94,1547,454,13,1,0,,,
https://github.com/dongjunkun/DropDownMenu,DropDownMenu,70,2590,636,123,1,2,1,,
https://github.com/donglua/PhotoPicker,PhotoPicker,102,2404,635,307,1,14,,,
https://github.com/drakeet/MaterialDialog,MaterialDialog,93,2051,508,113,1,0,8,,
https://github.com/drakeet/Meizhi,Meizhi,175,3528,1105,308,3,0,10,,
https://github.com/drakeet/MultiType,MultiType,93,2837,444,277,3,37,5,,
https://github.com/dreamhead/moco,moco,225,2031,526,2,146,1,12,,
https://github.com/DreaminginCodeZH/Douya,Douya,167,3610,1030,901,1,10,1,,
https://github.com/DrKLO/Telegram,Telegram,868,9010,3735,311,2,0,11,,
https://github.com/DroidPluginTeam/DroidPlugin,DroidPlugin,519,5452,2318,221,3,2,19,,
https://github.com/dropbox/hackpad,hackpad,156,3100,487,43,2,0,8,,
https://github.com/dropwizard/dropwizard,dropwizard,484,6346,2735,4,377,11,104,,
https://github.com/dropwizard/metrics,metrics,411,5518,1448,2,330,16,72,,
https://github.com/druid-io/druid,druid,520,6075,1500,8,337,21,402,,
https://github.com/dyc87112/SpringBoot-Learning,SpringBoot-Learning,236,2250,1131,240,2,1,1,,
https://github.com/eclipse/che,che,294,4562,795,5,754,37,97,,
https://github.com/eclipse/jetty.project,jetty.project,246,1826,1120,15,150,24,301,,
https://github.com/eclipse/vert.x,vert.x,589,7348,1314,3,351,180,72,,
https://github.com/edmodo/cropper,cropper,269,2557,859,84,1,0,8,,
https://github.com/eirslett/frontend-maven-plugin,frontend-maven-plugin,130,2184,536,526,5,35,74,,
https://github.com/eishay/jvm-serializers,jvm-serializers,246,2172,425,521,3,0,21,,
https://github.com/elastic/elasticsearch,elasticsearch,2324,28607,9968,30,78,127,207,,
https://github.com/elasticjob/elastic-job-lite,elastic-job-lite,530,3213,1631,1,403,4,22,,
https://github.com/elevenetc/TextSurface,TextSurface,55,1794,219,14,1,2,2,,
https://github.com/eluleci/FlatUI,FlatUI,123,1605,481,54,2,0,,,
https://github.com/elye/loaderviewlibrary,loaderviewlibrary,33,1780,251,50,1,12,7,,
https://github.com/emilsjolander/StickyListHeaders,StickyListHeaders,311,5196,1560,414,1,19,42,,
https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,FizzBuzzEnterpriseEdition,166,8464,434,161,1,0,30,,
https://github.com/Ereza/CustomActivityOnCrash,CustomActivityOnCrash,84,2268,388,98,1,10,7,,
https://github.com/esoxjem/MovieGuide,MovieGuide,95,1762,496,137,1,0,8,,
https://github.com/etsy/AndroidStaggeredGrid,AndroidStaggeredGrid,339,4639,1218,122,2,7,21,,
https://github.com/eugenp/tutorials,tutorials,566,4163,7258,7,217,77,0,,
https://github.com/evant/gradle-retrolambda,gradle-retrolambda,204,5212,458,331,4,39,24,,
https://github.com/evernote/android-job,android-job,143,3928,343,384,4,32,18,,
https://github.com/EverythingMe/overscroll-decor,overscroll-decor,61,1508,240,55,2,0,4,,
https://github.com/facebook/buck,buck,296,5492,833,14,732,5,32,,
https://github.com/facebook/device-year-class,device-year-class,145,1966,199,45,3,2,,,
https://github.com/facebook/facebook-android-sdk,facebook-android-sdk,553,4403,2554,683,2,76,50,,
